20190504,浦东,川沙,两房朝南 厅采光明亮 中等装修  位置好 楼层佳,215万,南桥小区  | 2室1厅 | 64.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ecf3016d-2510-4b6d-9cbf-627bd8ea087b.jpg.296x216.jpg
20190504,浦东,川沙,房子是两房朝南户型 采光不错  观澜 中等装修诚心售,230万,河滨小区  | 2室1厅 | 60.6平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/8e986bea-6d91-4876-84b5-d11237ed6e13.jpg.296x216.jpg
20190504,浦东,川沙,银龙小区 2室1厅 250万,250万,银龙小区  | 2室1厅 | 64.27平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/38bbc4d9-6599-4949-b7ab-0fe2500291c6.jpg.296x216.jpg
20190504,浦东,川沙,鼎鑫名流世家，精装2房，房东自住，诚意出售,385万,鼎鑫名流世家  | 2室2厅 | 92.72平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadbf01847f-6021-4c9d-871c-84aed95bdcf6.jpg.296x216.jpg
20190504,浦东,川沙,运通小区，总价低，小区环境好，采光好,138万,运通路728弄  | 1室1厅 | 41.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/726bf429-02cb-413e-91ae-8b7cce24a7e1.jpg.296x216.jpg
20190504,浦东,川沙,象屿鼎城上叠别墅，自带电梯，产权车位，诚意出售,1100万,象屿鼎城(别墅)  | 4室2厅 | 221.52平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/57d81fe8-d4ca-47c4-90f9-54b26b9d3ed3.jpg.296x216.jpg
20190504,浦东,川沙,沙田公寓 3室2厅 350万,350万,沙田公寓  | 3室2厅 | 117.59平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20161121/03e12359-00a2-4701-bb1b-010c79403f0e.jpg.296x216.jpg
20190504,浦东,川沙,城南小区 2室2厅 328万,328万,城南小区  | 2室2厅 | 78.22平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload26f9854e-706d-49b2-b448-156596b82e3b.jpg.296x216.jpg
20190504,浦东,川沙,小面积，低总价，看房方便，诚意出售,160万,王桥街41弄  | 1室1厅 | 46.5平米 | 暂无数据 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20180110/378d4ecb-c5f6-4631-a2bd-21a277a3ece8.jpg.296x216.jpg
20190504,浦东,川沙,立诚苑 2室2厅 420万,420万,立诚苑  | 2室2厅 | 97.45平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload0d7613da-3e13-40d2-9637-d9ff33d0ed17.jpg.296x216.jpg
20190504,浦东,川沙,翔川家园带阁楼，百联商圈地铁口自住装修，户型方正,320万,翔川家园  | 1室1厅 | 53.78平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/6f55fd6f-a552-4836-9199-416f5769c553.jpg.296x216.jpg
20190504,浦东,川沙,金厦苑满五税少精装大两房 婚房精装修采光好,325万,金厦苑  | 2室1厅 | 77.39平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/6c643634-5c75-4cde-a737-157f4d3e1757.jpg.296x216.jpg
20190504,浦东,川沙,曙光南桥小区1994年竣工，68平带大院子，满两年,250万,曙光南桥小区  | 2室1厅 | 68.79平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/13bc60e1-97ef-4fce-b853-67c4fd606891.jpg.296x216.jpg
20190504,浦东,川沙,界龙花苑 1室1厅 245万,245万,界龙花苑  | 1室1厅 | 59平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload2de36755-4b9b-430f-89d4-37083cb810f1.jpg.296x216.jpg
20190504,浦东,川沙,正规南北通，目前是两房，双南阳台，其中一个不算面积,280万,合欢公寓  | 2室2厅 | 69.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/af7e352b-3b66-4fb5-9a02-d298cdacca76.jpg.296x216.jpg
20190504,浦东,川沙,2014年 新小区 两房毛坯 3楼层 卧室朝南 客厅朝南,232万,海霞新苑  | 2室1厅 | 83.58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/ec4ed954-0a67-47f7-bd75-576f5567a151.jpg.296x216.jpg
20190504,浦东,川沙,妙境路715弄，中间楼层，通透两房，看房随时,275万,妙境路715弄  | 2室1厅 | 80.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/b1553626-07e0-44f7-aa9b-ce8019a675c2.jpg.296x216.jpg
20190504,浦东,川沙,两房朝南  税费少 近地铁 有钥匙 随时看,265万,妙栏路392弄  | 2室1厅 | 68.46平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/1b90dd26-6e9d-4706-9dd0-e62821e5852c.jpg.296x216.jpg
20190504,浦东,川沙,南桥小区便宜..............,124万,西市街50号  | 1室0厅 | 26.54平米 | 北 | 简装,https://image1.ljcdn.com/shfdfs-image/20170105/761bb1ed-520c-444d-bfb3-a4c01e18c779.jpg.296x216.jpg
20190504,浦东,川沙,钻石苑 二号线川沙地铁站 精装3房 拎包入住,450万,钻石苑  | 3室2厅 | 107.79平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload102a3682-4367-4b88-b20d-1cbbe702bafb.jpg.296x216.jpg
20190504,浦东,川沙,临河小区 2室1厅 270万,270万,临河小区  | 2室1厅 | 75.48平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/5fbd7652-4984-45c5-9831-009c716e960d.jpg.296x216.jpg
20190504,浦东,川沙,新德路506弄 钥匙房 满五年税费少 无户口 诚意出售,168万,新德路506弄  | 1室1厅 | 45.09平米 | 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/73b4b999-6dff-4f20-8b59-c435190a3303.jpg.296x216.jpg
20190504,浦东,川沙,临河小区，老精装一房，可拎包入住，看房方便,185万,临河小区  | 1室1厅 | 42.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadc3856e11-9604-42a9-8703-e7700197c05d.jpg.296x216.jpg
20190504,浦东,川沙,川沙地铁站旁 一梯两户 两房朝南 满5年,228万,临园小区  | 2室1厅 | 60.59平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/4bd8bbfa-d745-45a0-9faa-9b4c63f918eb.jpg.296x216.jpg
20190504,浦东,川沙,阳光城2016年品质别墅，小区物业管理完善，人车分流,1030万,阳光城愉景湾   | 叠拼别墅 | 5室2厅 | 143平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/27056b36-bd8e-4cde-99dd-20285ad85d8c.jpg.296x216.jpg
20190504,浦东,川沙,迪士尼旁 独栋别墅  采光好 配套齐全 有钥匙,1150万,欧泊圣堡苑   | 独栋别墅 | 5室3厅 | 265平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/9ec2ecb8-f425-4901-98da-b29718c1f528.jpg.296x216.jpg
20190504,浦东,川沙,动迁房，没有增值税，没有个税，适合老人居住,315万,顺馨佳园  | 1室1厅 | 60.46平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170506/3d384689-b960-467c-9ff5-035af1810f4a.jpg.296x216.jpg
20190504,浦东,川沙,华夏花园 纯独栋别墅 花园面积600平,1300万,华夏花园   | 独栋别墅 | 5室2厅 | 220.68平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload231cbf66-90f2-4c19-bde1-7c08a1ccc89f.jpg.296x216.jpg
20190504,浦东,川沙,大两房 中间楼层 川沙成熟小区 价格可谈,365万,鑫龙佳苑  | 2室2厅 | 95.21平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160509/f524b832-daf8-4b60-ac71-bcbb39864390.jpg.296x216.jpg
20190504,浦东,川沙,运通路728弄 面积大总价低 2房2厅 中间楼层 看房随时,220万,运通路728弄  | 2室2厅 | 73.41平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170827/65f6f629-decc-4c13-b1ba-e214584e9ddc.jpg.296x216.jpg
20190504,浦东,川沙,2008年次新商品房，别墅小区公寓房，楼层好视野广,860万,贝越水岸名邸  | 6室2厅 | 201.92平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/53cee9af-8c7a-437c-b9fa-4ab782edd3f0.jpg.296x216.jpg
20190504,浦东,川沙,申华公寓 2室2厅 365万,365万,申华公寓  | 2室2厅 | 88平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5264be3b-f03c-45da-8221-8f3f46b76cac.jpg.296x216.jpg
20190504,浦东,川沙,川六公路1789弄 2室1厅 278万,278万,川六公路1789弄  | 2室1厅 | 94.55平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/c6946057-a6a4-4ac6-a6d7-4a02081c2c08.jpg.296x216.jpg
20190504,浦东,川沙,华夏东路2433弄 2室1厅 190万,190万,华夏东路2433弄  | 2室1厅 | 59平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/22ff106a-8f14-44b9-a1bd-448cf8b080ca.jpg.296x216.jpg
20190504,浦东,川沙,2003年商品房户型通透 新源步行街浦东商场,488万,鹤兴苑  | 3室2厅 | 131.07平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/3cc07aab-e53a-4511-af07-d97072d4937d.jpg.296x216.jpg
20190504,浦东,川沙,妙城公寓 3室2厅 580万,580万,妙城公寓  | 3室2厅 | 138.95平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160330/f4f8a36a-ee12-4e84-86d8-71ca5890501e.jpg.296x216.jpg
20190504,浦东,川沙,妙栏路392弄 3室1厅 360万,360万,妙栏路392弄  | 3室1厅 | 87.78平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20161004/f7f1f7f2-e1a2-434c-bb14-5838cd782986.jpg.296x216.jpg
20190504,浦东,川沙,天环苑 3室2厅 310万新上,310万,天环苑  | 3室2厅 | 106.32平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160711/907816c9-ee82-418e-943d-baa6c104479f.jpg.296x216.jpg
20190504,浦东,川沙,东郊半岛，别墅区大平层，装修很棒,1100万,东郊半岛  | 4室2厅 | 241.71平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/0bd63d9a-87d3-408e-a3e8-5464b79fa8f5.jpg.296x216.jpg
20190504,浦东,川沙,新川苑 3室2厅 520万,520万,新川苑  | 3室2厅 | 129.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160220/82b858ed-7e5b-4dfc-8b68-4995c5b11f72.jpg.296x216.jpg
20190504,浦东,川沙,华邦佳苑 3室2厅 450万,450万,华邦佳苑  | 3室2厅 | 104.22平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160624/4c4b1c87-32ad-44bd-b634-156e8fe7fccf.jpg.296x216.jpg
20190504,浦东,川沙,川沙 凯佳公寓  单价低 配套好,790万,凯佳公寓  | 7室2厅 | 270平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/40241be0-1e39-4b41-acc4-abdf2b82c0f4.jpg.296x216.jpg
20190504,浦东,川沙,高档电梯房 南北通双阳台  看房方便,315万,天和湖滨家园(公寓)  | 2室2厅 | 93.12平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5b903264-efc2-443e-b1cf-52ca9500045d.jpg.296x216.jpg
20190504,浦东,川沙,东郊半岛独栋带上千平花园，位置好+单价低+满两年急售,2800万,东郊半岛   | 独栋别墅 | 5室3厅 | 669.81平米 | 暂无数据 | 毛坯 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160617/5843836d-fec6-416a-ba08-be0d66c579f4.jpg.296x216.jpg
20190504,浦东,川沙,电梯房，16年精装修，有阁楼，中环唐黄路出口有停车位,500万,瀚龙苑  | 3室2厅 | 116平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/10c99531-82f4-462e-86e3-b2b83bd97e24.jpg.296x216.jpg
20190504,浦东,川沙,此房 一手动迁  满五唯一，一手动迁，毛坯，带院子,270万,万馨佳园  | 1室2厅 | 55.31平米 | 南 | 简装 | 无电梯,
20190504,浦东,川沙,此房满五唯一，朝南采光好，楼层好，视野开阔,320万,妙栏路200弄  | 3室1厅 | 87.39平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/40d6b740-13c9-4e6a-9e21-32941622402b.jpg.296x216.jpg
20190504,浦东,川沙,迪士尼纯独栋别墅 临河位置 环境优美，配套齐,1150万,欧泊圣堡苑   | 独栋别墅 | 4室2厅 | 238.43平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/aea86bca-e1b7-488d-8230-ce0bce2a26df.jpg.296x216.jpg
20190504,浦东,川沙,合欢公寓 4室1厅 450万,450万,合欢公寓  | 4室1厅 | 126.5平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160625/e32daa50-8553-4c3e-ad6b-b161b3dc1423.jpg.296x216.jpg
20190504,浦东,川沙,绿海家园 4室4厅 650万,650万,绿海家园  | 4室4厅 | 151.23平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20151026/e8480c40-1478-475b-ab1d-d43bccb40f69.jpg.296x216.jpg
20190504,浦东,川沙,百欣苑 2室2厅 270万,270万,百欣苑  | 2室2厅 | 89.23平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20151021/9e988086-39a0-4c3c-ad21-2fdd8b2f790f.jpg.296x216.jpg
20190504,浦东,川沙,万馨佳园 顶楼阁楼 拎包入住  理想的孩子,470万,万馨佳园  | 3室2厅 | 119.36平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/2a32aa2c-e978-47d4-b0b7-b780976f6c67.jpg.296x216.jpg
20190504,浦东,川沙,恒乐苑新装大三房，满五唯一，新装修拎包入住，房主自荐,491万,恒乐苑  | 3室2厅 | 136.4平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170311/ffd0c0dc-facf-46bb-a7b0-584c9f49f9bf.jpg.296x216.jpg
20190504,浦东,川沙,和憬家园，精装两房，满五年唯一，省税，到价签字,335万,和憬家园  | 2室1厅 | 68.5平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/e1e10f22-8004-4550-83dc-4bd9489be66b.jpg.296x216.jpg
20190504,浦东,川沙,百联商圈商品房，自住装修拎包入住，离观澜和川中近,340万,翔川家园  | 2室1厅 | 64.5平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170515/8a153e3a-9d68-4286-8b9b-58dd215a52ba.jpg.296x216.jpg
20190504,浦东,川沙,鼎鑫钻石楼层，简欧风格精装修拎包即住，带租赁车位！,405万,鼎鑫名流世家  | 2室2厅 | 92.72平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20180112/4ec95f02-79b2-44a4-a45f-23e04474b961.jpg.296x216.jpg
20190504,浦东,川沙,顶楼复式带大露台 税少 而且是精装修的 可以拎包即住,700万,华盛名门  | 5室3厅 | 189.57平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/19fd323f-ea80-4838-a309-7fd96568468c.jpg.296x216.jpg
20190504,浦东,川沙,阳光城叠加，中间位置好 阁楼全部做好 现在诚意出售,840万,阳光城愉景湾   | 叠拼别墅 | 3室2厅 | 150平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadf999481a-ac8d-4924-9259-6685244ee228.jpg.296x216.jpg
20190504,浦东,川沙,此房满五年，随时可看，简装带天井，采光好新上,305万,青厦小区  | 3室1厅 | 80.93平米 | 南 | 简装 | 无电梯,
20190504,浦东,川沙,华川家园 2室2厅 385万新上,385万,华川家园  | 2室2厅 | 81.04平米 | 南 | 简装,
20190504,浦东,川沙,2005年商品房，南北户型3房双阳台6楼有多出60平的阁楼,280万,百欣苑  | 3室2厅 | 105平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170217/8cf9513c-9929-4e6b-9032-233919f634bc.jpg.296x216.jpg
20190504,浦东,川沙,地段50米浦东广场，小户型适合刚需，房东诚心售,160万,新德路379弄-385号  | 1室1厅 | 46.67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/f72cf34c-d655-4327-949c-2fef8eef7ff7.jpg.296x216.jpg
20190504,浦东,川沙,绿海家园 3室2厅 585万,585万,绿海家园  | 3室2厅 | 195.61平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload89dedba8-13f1-4430-896e-2a0b2f77fede.jpg.296x216.jpg
20190504,浦东,川沙,沙田公寓 好楼层 房东置换 诚心出售 小区花园旁边位置,245万,沙田公寓  | 2室1厅 | 71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/a12d945b-e01d-4b82-ad99-46d12cb41390.jpg.296x216.jpg
20190504,浦东,川沙,新德公寓(浦东) 2室2厅 239万,239万,新德公寓(浦东)  | 2室2厅 | 62.23平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload2e6ef12d-bf4d-4ba6-aa8c-f6eff57550e8.jpg.296x216.jpg
20190504,浦东,川沙,明珠小区地段繁华配套齐全诚意出售带2.2米高复式阁楼,400万,明珠小区(川沙)  | 4室2厅 | 136.35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/2aef8ac3-8451-45f3-9ab4-fb3f2655a3ef.jpg.296x216.jpg
20190504,浦东,川沙,绿海家园，婚房精装，带中 央空调，带露台诚意出售,580万,绿海家园  | 6室2厅 | 174.74平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/3a18e02b-37ba-4c5c-b5d6-a7b15d7d9c3f.jpg.296x216.jpg
20190504,浦东,川沙,近地铁二号线华夏东路站出行方便，满五年，小区环境好,880万,华夏金桂苑(别墅)   | 联排别墅 | 5室2厅 | 200.93平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/fa6e6944-0e35-47d2-b65e-35cdf2e3afb7.jpg.296x216.jpg
20190504,浦东,川沙,临河小区 2室2厅 270万,270万,临河小区  | 2室2厅 | 75.32平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/10751026-67d1-48d6-bd66-eafdb3926f25.jpg.296x216.jpg
20190504,浦东,川沙,临河小区 2室2厅 270万,270万,临河小区  | 2室2厅 | 75.32平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/b7adf577-7fa8-4147-8df5-db65502c2c37.jpg.296x216.jpg
20190504,浦东,川沙,绿海三期2004年房龄 南北通正气户型大三房,405万,绿海家园  | 3室2厅 | 120.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/3c63dc7c-5b27-467b-b7be-9e14d543a2d7.jpg.296x216.jpg
20190504,浦东,川沙,金宇别墅 4室2厅 1600万,1600万,金宇别墅   | 独栋别墅 | 4室2厅 | 283.64平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/a226f09e-00c4-4d53-b2c3-101d64bd929e.jpg.296x216.jpg
20190504,浦东,川沙,迪士尼商圈独栋花园别墅，花园占地一亩，诚意出售！,1600万,蓝堡别墅   | 独栋别墅 | 8室3厅 | 416.54平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171119/d628f33e-d392-45b6-982e-dbaa687e6afe.jpg.296x216.jpg
20190504,浦东,川沙,立诚苑 3室2厅 650万,650万,立诚苑  | 3室2厅 | 130.04平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload419ba7ca-917d-42c9-9fef-20d08866e1d4.jpg.296x216.jpg
20190504,浦东,川沙,申华公寓 3室1厅 385万,385万,申华公寓  | 3室1厅 | 107.67平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/f41b4cf1-849a-413c-9b31-1c65bd677e94.jpg.296x216.jpg
20190504,浦东,川沙,鸿基公寓 4室2厅 600万,600万,鸿基公寓  | 4室2厅 | 173.68平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/65a12c8d-3e24-475c-8d2f-2596cbe38006.jpg.296x216.jpg
20190504,浦东,川沙,玉兰苑(川沙) 3室2厅 460万,460万,玉兰苑(川沙)  | 3室2厅 | 132平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/2c115109-e7f3-400c-a8d1-cebab702ca2d.jpg.296x216.jpg
20190504,浦东,川沙,阳光城愉景湾 人车分流小区 上叠别墅 附带面积大,880万,阳光城愉景湾   | 叠拼别墅 | 7室1厅 | 150平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/724917be-4889-4b8a-8551-8b8539a0f863.jpg.296x216.jpg
20190504,浦东,川沙,2013年竣工 ，156平下叠别墅有地下室诚意卖可以满二年,980万,阳光城愉景湾   | 叠拼别墅 | 7室1厅 | 156.4平米 | 南 | 简装,https://image1.ljcdn.com/310000-inspection/dbd46d6f-436a-472a-884b-fdfe0e5bb770.jpg.296x216.jpg
20190504,浦东,川沙,急售，急售，大露台，精装修，随时可看房，见面可详谈,1300万,东郊半岛  | 4室3厅 | 346.54平米 | 东南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/fbae60b4-27e7-4530-aa6e-2b5176ba0d71.jpg.296x216.jpg
20190504,浦东,川沙,天和湖滨叠加别墅，现代化装修带花园，甄享品质！,1177万,天和湖滨家园(公寓)  | 4室3厅 | 196平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/a471c7e7-2c56-497b-8fe2-8f96bfe4ddf7.jpg.296x216.jpg
20190504,浦东,川沙,绿海家园 3室2厅 600万,600万,绿海家园  | 3室2厅 | 195.61平米 | 南 | 简装 | 无电梯,
20190504,浦东,川沙,华川家园 2室2厅 365万新上,365万,华川家园  | 2室2厅 | 81.04平米 | 南 | 简装,
20190504,浦东,川沙,华沙二村 满五唯一 采光好 楼层佳 业主诚心卖,330万,华沙二村  | 3室1厅 | 88.03平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/bfb5ddfd-0fc0-4431-b5d2-15ea3ecc25f6.jpg.296x216.jpg
20190504,浦东,川沙,青厦小区 户型方正 诚意出售  配套齐全,340万,青厦小区  | 4室1厅 | 104.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/6b02f189-4345-460e-8e5a-b1026414dd2e.jpg.296x216.jpg
20190504,浦东,川沙,妙栏小区 顶楼带阁楼 采光充足 房东诚心出售 价格可谈,385万,妙栏小区  | 3室1厅 | 86.98平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/6448b3d7-042f-4e71-870a-45936e403536.jpg.296x216.jpg
20190504,浦东,川沙,自住中装大复式 不靠路位置安静 满五年 配套齐,570万,恒乐苑  | 4室2厅 | 127.46平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/8c0f2be8-8037-4584-bdf2-7824c9250744.jpg.296x216.jpg
20190504,浦东,川沙,云川小区 婚房装修 南北通透 房东置换 诚售,345万,云川公寓  | 2室1厅 | 90.97平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/aa6e3806-ff5f-4ea5-bfd9-f1c0a53bcedf.jpg.296x216.jpg
20190504,浦东,川沙,水景豪园 3室2厅 900万,900万,水景豪园  | 3室2厅 | 165.55平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/c446d1cf-783e-4352-a5b3-1b5bc54d8588.jpg.296x216.jpg
20190504,浦东,川沙,思凡二街坊新挂牌大3房，户型正气，楼层佳。,218万,思凡花苑二街坊  | 3室2厅 | 99.69平米 | 南 | 精装 | 无电梯,
20190504,浦东,川沙,川北小区 2室1厅 182万,182万,川北小区  | 2室1厅 | 48.89平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/3a682663-4368-4cbc-99fc-59e9abd20596.jpg.296x216.jpg
20190504,浦东,川沙,晨光公寓 2室1厅 240万,240万,晨光公寓  | 2室1厅 | 66.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/6736ed3c-7d2b-4709-bd3c-9fd03e9c9934.jpg.296x216.jpg
20190504,浦东,川沙,玉兰苑(川沙) 5室3厅 520万,520万,玉兰苑(川沙)  | 5室3厅 | 176平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20161204/ce6a0b2a-6f83-4430-bb28-0bfe6f9bca25.jpg.296x216.jpg
20190504,浦东,川沙,次新小区   大2房  南北通  安静位置  配套成熟,420万,华盛名门  | 2室2厅 | 112平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170728/4fe4d638-dc83-41d9-b3f4-ebde30c7694d.jpg.296x216.jpg
20190504,浦东,川沙,华川家园 3室2厅 508万新上,508万,华川家园  | 3室2厅 | 113.06平米 | 南 | 毛坯,
20190504,浦东,川沙,上浦小区 2室1厅 240万新上,240万,上浦小区  | 2室1厅 | 59.36平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/dfe43f48-d0fa-42ea-8350-b29b1066bf7f.png.280x210.jpg
20190504,浦东,川沙,此房满五唯一，南北相通，视野开阔配套设施齐,280万,青厦小区  | 2室1厅 | 70.52平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170703/91c369be-e87d-404b-8a96-68ec99f0ece6.jpg.296x216.jpg
20190504,浦东,川沙,阳光城2016年品质别墅，小区物业管理完善，人车分流,860万,阳光城愉景湾   | 叠拼别墅 | 5室2厅 | 156平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170714/7527ea14-12c2-49d2-beeb-4ab7250680d2.jpg.296x216.jpg
20190504,浦东,川沙,妙栏小区顶楼+阁楼，自住装修，看房方便，满五年！,260万,妙栏小区  | 2室1厅 | 57.21平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/01c9f253-6967-4091-bf24-0b1df2666e18.jpg.296x216.jpg
20190504,浦东,川沙,地铁口，交通便利。正对百联,位置好,350万,妙境二村  | 2室1厅 | 85.83平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170515/940aeb85-56ea-4e6c-9f8f-6808e3cd72e8.jpg.296x216.jpg
20190504,浦东,川沙,配套完善，出行便捷，1楼带天井，南北直通，户型好,230万,晨阳小区  | 2室2厅 | 85.33平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/b7284eb4-5da7-4d74-b42f-11f9efca6971.jpg.296x216.jpg
20190504,浦东,川沙,银光苑 3室2厅 560万,560万,银光苑  | 3室2厅 | 126平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170331/0ca9176a-cc88-47cd-8bb9-6e1718abe176.jpg.296x216.jpg
