20190504,普陀,真光,阳光威尼斯(二期) 1室2厅 375万新上,375万,阳光威尼斯(二期)  | 1室2厅 | 76.52平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f6a9f704-7e5f-46ed-9b5c-78f5badd1049.jpg.296x216.jpg
20190504,普陀,真光,新上一室 总价低 采光好 中楼层 中间位置 看房方便,183万,真光七街坊  | 1室1厅 | 36.19平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/bdf462fc-04e8-4956-8a30-4e169a74d6fa.png.280x210.jpg
20190504,普陀,真光,2000年商品房，中间楼层，南北户型，一梯两户！,330万,清涧三街坊  | 2室1厅 | 71.06平米 | 南 | 简装 | 无电梯,
20190504,普陀,真光,真光新村第二小区 1室0厅 180万,180万,真光新村第二小区  | 1室0厅 | 37.73平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/6705f74a-7286-4954-92f7-ea26686fda01.png.280x210.jpg
20190504,普陀,真光,一房一厅 高楼层 采光充足 随时看房,215万,清涧二街坊  | 1室1厅 | 48.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170715/27b69bda-df16-46d0-a181-a992e96fe2a3.jpg.296x216.jpg
20190504,普陀,真光,海普苑 2室2厅 650万,650万,海普苑  | 2室2厅 | 108.75平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/b08ef627-c856-43f5-8d7a-bd6bdcc1a26f.jpg.296x216.jpg
20190504,普陀,真光,中环边 一室一厅 一梯两户 一楼带天井,250万,真光新秀  | 1室1厅 | 48.74平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/4c6bada2-9cd3-4edd-9f6c-1bcdf102aabd.jpg.296x216.jpg
20190504,普陀,真光,真光八街坊 1室1厅 250万,250万,真光八街坊  | 1室1厅 | 49.82平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20161119/744c2237-648b-4858-9a74-2618c2ed00f4.jpg.296x216.jpg
20190504,普陀,真光,此房户型通透，全明户型.交通方便.1T2户.低楼层,290万,香樟苑(普陀)  | 2室1厅 | 66.76平米 | 南 | 简装 | 无电梯,
20190504,普陀,真光,一楼带天井，使用面积大，可改两房。总价低，单价低房主自荐,225万,真光新村第二小区  | 2室1厅 | 48.54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/4fb8a040-ffd3-4d5d-93bf-c5f6e583b0b4.jpg.296x216.jpg
20190504,普陀,真光,双南两房附带天井，1梯2户，满五年唯一，诚意急售,325万,真光八街坊  | 2室1厅 | 63.13平米 | 南 | 简装 | 无电梯,
20190504,普陀,真光,中鼎豪园 2室2厅 568万新上,568万,中鼎豪园  | 2室2厅 | 107.92平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/d62a2647-ddc8-42b7-b825-19d82ec977f5.png.280x210.jpg
20190504,普陀,真光,阳光威尼斯三期 税少 房子好不好 看环境就知道新上,340万,阳光威尼斯(三期)  | 1室2厅 | 75.06平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/cd1e38d4-900d-4c79-99f4-e9b0a992c611.png.280x210.jpg
20190504,普陀,真光,中鼎豪园 3室2厅 680万,680万,中鼎豪园  | 3室2厅 | 128.88平米 | 南 北 | 毛坯 | 有电梯,
20190504,普陀,真光,阳光威尼斯C区 1室1厅 300万,300万,阳光威尼斯C区  | 1室1厅 | 58.46平米 | 南 | 毛坯 | 有电梯,
20190504,普陀,真光,清涧六街坊 2室1厅 248万,248万,清涧六街坊  | 2室1厅 | 54.82平米 | 南 | 简装 | 无电梯,
20190504,普陀,真光,正规两房 厅有窗  全明 中间楼层  户型正 诚意出售,360万,真光新村第二小区  | 2室1厅 | 69.41平米 | 南 北 | 简装 | 无电梯,
20190504,普陀,真光,富颐星成公馆 2房间1卫 176万,176万,富颐星成公馆  | 1室1厅 | 55.31平米 | 西 | 精装,
20190504,普陀,真光,新上四期全南两房  总价低  楼层好 增值税少,415万,阳光威尼斯(四期)(公寓)  | 2室2厅 | 79.8平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/8ab07eea-d3fe-4957-a6fe-1899b658639c.png.280x210.jpg
20190504,普陀,真光,好房源 真光二一楼 满五唯一 南北通 价格可谈,250万,真光新村第二小区  | 2室1厅 | 54.49平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/9181f052-c3c2-42ec-abe8-55d2de1ab2a3.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯(二期) 2室1厅 375万,375万,阳光威尼斯(二期)  | 2室1厅 | 78.44平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/1c2eec3c-db5b-4841-8a6c-85c94ad46354.png.280x210.jpg
20190504,普陀,真光,位置好 南北通户型，采光可以，价格诚心出售,580万,阳光威尼斯AB区  | 3室2厅 | 117.76平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/dd4785c6-fb62-49b5-8870-2a0189c9fa2f.png.280x210.jpg
20190504,普陀,真光,阳光威尼斯C区 3室2厅 520万,520万,阳光威尼斯C区  | 3室2厅 | 119.05平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/d340579c-1ddd-44b2-b23b-ade81de55bf6.png.280x210.jpg
20190504,普陀,真光,富颐星成公馆 4房间1卫 197万,197万,富颐星成公馆  | 2室2厅 | 55平米 | 西 | 其他,
20190504,普陀,真光,中鼎豪园 2室2厅 530万,530万,中鼎豪园  | 2室2厅 | 98.86平米 | 南 | 简装 | 有电梯,
20190504,普陀,真光,富颐星成公馆 4房间1卫 390万,390万,富颐星成公馆  | 2室2厅 | 110平米 | 东 | 精装,https://image1.ljcdn.com/x-se/hdic-frame/b82d0dc5-f87b-45c5-b943-81ef7c47d777.png.280x210.jpg
20190504,普陀,真光,全南三房，高区景观房，风景好视野好，满五年,518万,阳光威尼斯(三期)  | 3室2厅 | 110.18平米 | 南 | 简装 | 有电梯,
20190504,普陀,真光,一梯4户+低楼层+位置好+小区环境好+菜场购物一应俱全,240万,真光第四小区  | 1室1厅 | 45.82平米 | 南 | 简装 | 无电梯,
20190504,普陀,真光,富颐星成公馆 4房间1卫 390万,390万,富颐星成公馆  | 2室2厅 | 111.08平米 | 东 | 精装,
20190504,普陀,真光,清涧七街坊 2室1厅 275万,275万,清涧七街坊  | 2室1厅 | 54.13平米 | 南 | 简装 | 无电梯,
20190504,普陀,真光,富颐星成公馆 4房间1卫 390万,390万,富颐星成公馆  | 2室2厅 | 110平米 | 西 | 精装,
20190504,普陀,真光,真光第四小区 1室1厅 245万,245万,真光第四小区  | 1室1厅 | 52.61平米 | 南 | 精装 | 无电梯,
20190504,普陀,真光,一梯二户， 卧室朝南，精装修保养好，看房子随时方便,230万,真光新村第五小区  | 1室1厅 | 49.4平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/5f74259d-195d-4d17-a611-6446e8fca047.png.280x210.jpg
20190504,普陀,真光,真光新秀 2室1厅 360万,360万,真光新秀  | 2室1厅 | 66平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/a685f309-b204-40b9-9bbc-acf6af912d2e.png.280x210.jpg
20190504,普陀,真光,清涧二街坊 1室1厅 215万,215万,清涧二街坊  | 1室1厅 | 48.13平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/fc40a2d1-1f0d-4234-b895-e3a1f0dcb129.png.280x210.jpg
20190504,普陀,真光,真光新村第二小区 1室1厅 205万,205万,真光新村第二小区  | 1室1厅 | 46.16平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/22f8d99f-cd2a-43c0-ab55-36d465f2f4e4.png.280x210.jpg
20190504,普陀,真光,阳光威尼斯C区 2室1厅 340万,340万,阳光威尼斯C区  | 2室1厅 | 78.64平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/89476f13-89de-41ae-8f68-8af6bc4e97d4.png.280x210.jpg
20190504,普陀,真光,中鼎豪园 2室2厅 575万,575万,中鼎豪园  | 2室2厅 | 104.58平米 | 南 | 简装 | 有电梯,
20190504,普陀,真光,香樟苑(普陀) 2室1厅 300万,300万,香樟苑(普陀)  | 2室1厅 | 67.83平米 | 南 | 精装 | 无电梯,
20190504,普陀,真光,一梯两户，精装修，全明户型，满五唯一，看房方便,248万,真光九街坊  | 1室1厅 | 49.38平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/3a136e45-f4b3-4d5f-85e5-b2ee05c111ef.png.280x210.jpg
20190504,普陀,真光,富颐星成公馆 4房间1卫 390万,390万,富颐星成公馆  | 2室2厅 | 110.08平米 | 东 | 其他,
20190504,普陀,真光,富颐星成公馆 4房间1卫 390万,390万,富颐星成公馆  | 2室2厅 | 107.21平米 | 东 西 | 其他,
20190504,普陀,真光,富颐星成公馆 4房间1卫 390万,390万,富颐星成公馆  | 2室2厅 | 110.08平米 | 西 | 其他,
20190504,普陀,真光,富颐星成公馆 4房间1卫 390万,390万,富颐星成公馆  | 2室2厅 | 110.08平米 | 东 | 其他,
20190504,普陀,真光,富颐星成公馆 4房间1卫 390万,390万,富颐星成公馆  | 2室2厅 | 110平米 | 东 | 其他,
20190504,普陀,真光,中环旁 一梯两户 电梯房11楼复式 稀有五房 变现出国,950万,真光新秀  | 5室2厅 | 184.51平米 | 南 北 | 简装 | 有电梯,
20190504,普陀,真光,富颐星成公馆 2房间1卫 220万,220万,富颐星成公馆  | 1室1厅 | 60.42平米 | 东 | 其他,https://image1.ljcdn.com/x-se/hdic-frame/ad4ffdc0-4f9d-42f1-ab62-e6ea179929cb.png.280x210.jpg
20190504,普陀,真光,真情公寓 3室2厅 620万,620万,真情公寓  | 3室2厅 | 114.49平米 | 南 | 其他 | 有电梯,
20190504,普陀,真光,富颐星成公馆 4房间1卫 195万,195万,富颐星成公馆  | 2室2厅 | 60.21平米 | 东南 南 西南 | 其他,
20190504,普陀,真光,富颐星成公馆 2房间1卫 186万,186万,富颐星成公馆  | 1室1厅 | 56平米 | 东 | 其他,
20190504,普陀,真光,富颐星成公馆 4房间1卫 330万,330万,富颐星成公馆  | 2室2厅 | 110平米 | 西 | 其他,
20190504,普陀,真光,南北通明一房，楼层好，采光好，诚意急售,215万,真光新村第五小区  | 1室1厅 | 47.59平米 | 南 | 简装 | 无电梯,
20190504,普陀,真光,本房属商品房。房子南北套，厨卫厅房全明,320万,真光第四小区  | 2室1厅 | 59平米 | 东南 | 精装 | 无电梯,
20190504,普陀,真光,南北通透 房东诚意出售  采光无遮挡 税费少,468万,阳光威尼斯(三期)  | 2室2厅 | 96.07平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/10157153-e092-4a19-afbc-b5c5e603e320.png.280x210.jpg
20190504,普陀,真光,力荐 全南小两房 全明户型 毛坯方便装修 诚意出售,350万,阳光威尼斯C区  | 2室1厅 | 78.74平米 | 南 | 毛坯 | 有电梯,
20190504,普陀,真光,南北通户型，房型正气，诚心出售，次新房,610万,阳光威尼斯(四期)(公寓)  | 3室2厅 | 133.12平米 | 南 北 | 简装 | 有电梯,
20190504,普陀,真光,阳光威尼斯四期洋房，采光好，视野开阔，得房率高,735万,阳光威尼斯(四期)(公寓)  | 3室2厅 | 136.09平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/dd5a9f44-7afa-4172-93df-d24240bdf667.jpg.296x216.jpg
20190504,普陀,真光,一梯两户  三房朝南 南北大三房 全天有光照新上,615万,阳光威尼斯AB区  | 3室2厅 | 128.75平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/4e6fd4fb-1a4a-4440-96f7-ffed967217f2.png.280x210.jpg
20190504,普陀,真光,真光五街坊 双南户型 精装修  诚意出售新上,370万,真光新村第五小区  | 2室1厅 | 68.53平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/2971bc73-bd37-495a-9b1e-d225b6b86f2a.png.280x210.jpg
20190504,普陀,真光,清涧三街坊 2室1厅 300万新上,300万,清涧三街坊  | 2室1厅 | 65.92平米 | 东南 | 其他 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/7829a9aa-698c-4c82-a6b2-db75289c6826.png.280x210.jpg
