20190504,浦东,金杨,6号线距离200米双南全明通透户型+精装修税费低随时看,318万,金杨新村三街坊  | 2室1厅 | 60.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/0ba53f21-b7ee-46a2-b12f-fcfce2e45db0.jpg.296x216.jpg
20190504,浦东,金杨,新上致远两房，两室朝阳，中间楼层，诚意出售，可议价,380万,金杨六街坊  | 2室1厅 | 63.32平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/f0e062d2-2919-45df-8cb4-b623ddec252a.jpg.296x216.jpg
20190504,浦东,金杨,售后公房，房型正气，中间楼层，一梯2户，诚意出售,435万,罗山七村  | 2室1厅 | 75.18平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/196649f7-7722-4eaa-8371-e2dd18da40c1.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村三街坊 2室2厅 338万,338万,金杨新村三街坊  | 2室2厅 | 59.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/1ee6810f-f1a8-444e-97db-2ae987eebfd4.jpg.296x216.jpg
20190504,浦东,金杨,金杨六街坊 3室1厅 520万,520万,金杨六街坊  | 3室1厅 | 83.33平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/5bebfb5f-6bcb-4578-a0db-a182f3267a51.jpg.296x216.jpg
20190504,浦东,金杨,瑞仕花园小区  两房   位置好  双南户型,1050万,金桥瑞仕花园  | 2室2厅 | 112.1平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20180106/64a9aea8-250f-4a4a-aa6a-3822d2040208.jpg.296x216.jpg
20190504,浦东,金杨,香山一房 南北通 地铁6/9号线 着急出售！看房随时,215万,香山新村东南街坊  | 1室1厅 | 39.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160409/f3f401c4-421b-4df4-9980-a5343634fb58.jpg.296x216.jpg
20190504,浦东,金杨,浦东大道2511弄 2室1厅 295万,295万,浦东大道2511弄  | 2室1厅 | 59.33平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171004/0cb0ce30-4761-44e9-8ee1-2c2163e5cb78.jpg.296x216.jpg
20190504,浦东,金杨,致远 精装修 全明户型 随时看房,470万,金杨六街坊  | 2室2厅 | 69.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170730/f56f2a83-1efe-46dd-984d-32e1212e5d11.jpg.296x216.jpg
20190504,浦东,金杨,财富、人脉、品味齐聚一堂，顶楼复式为您精致呈现,780万,香山新村西北街坊  | 3室2厅 | 129.53平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170824/9faefe56-3e26-4b1e-b674-2c06d99260c1.jpg.296x216.jpg
20190504,浦东,金杨,罗山三村 2室2厅 490万,490万,罗山三村  | 2室2厅 | 87.15平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171003/8799bf0e-c79b-48a6-9df6-d5f2f77e0b59.jpg.296x216.jpg
20190504,浦东,金杨,寺前浜 1室1厅 245万,245万,寺前浜  | 1室1厅 | 42.45平米 | 暂无数据 | 其他 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171015/a4fddbc5-2d4b-45aa-9c51-e902a61a8dba.jpg.296x216.jpg
20190504,浦东,金杨,上房金丰苑 2室2厅 680万,680万,上房金丰苑  | 2室2厅 | 100.88平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload275aa172-a742-456b-af89-64baaf799176.jpg.296x216.jpg
20190504,浦东,金杨,金杨公寓，满五唯一，采光好，视野开阔,500万,金杨公寓  | 3室1厅 | 99.97平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload01ff0c6f-4c2d-4f8d-b3f9-e45f3f6b09e2.JPG.296x216.jpg
20190504,浦东,金杨,诚意房源！南北房型！小区花园位置！满五税少！急售！,459万,金杨路750弄  | 2室2厅 | 83.5平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/927b477e-1557-4fb0-af7d-09dd0f685da4.jpg.296x216.jpg
20190504,浦东,金杨,成熟小区 全明户型 一梯两户 房东诚意出售 价格可谈房主自荐,259万,金台三居  | 1室1厅 | 53.68平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160703/c415a11a-1c8d-40fd-883d-15c9812270a8.jpg.296x216.jpg
20190504,浦东,金杨,品质小区，点睛位置，全明户型，适宜改善，随时看房,480万,金杨路750弄  | 2室2厅 | 85.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/7e91c083-f1d1-43ed-b767-3a400fc61169.jpg.296x216.jpg
20190504,浦东,金杨,非顶楼 免增值税  近地铁  一梯一户 诚意出售,430万,银山小区  | 2室1厅 | 74.44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/27caf058-7cb7-442b-a579-2dbb24f1b56f.jpg.296x216.jpg
20190504,浦东,金杨,金茂花苑，电梯房，全明户型，双卫生间,700万,金茂花园  | 3室2厅 | 132平米 | 南 北 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/5f2a72fb-2994-41f1-a2a3-4875b14e3cb4.jpg.296x216.jpg
20190504,浦东,金杨,香山新村~急售，装修好，楼层好，诚意出售房主自荐,310万,香山新村东南街坊  | 2室1厅 | 59.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/234cb44c-32c1-4034-913f-2eae39b3b519.jpg.296x216.jpg
20190504,浦东,金杨,陆家嘴新景园 3室2厅 830万,830万,陆家嘴新景园  | 3室2厅 | 113.09平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171101/47c933fb-c250-4d4e-8b4e-3f83dde50471.jpg.296x216.jpg
20190504,浦东,金杨,满五年唯一，房东诚心卖，品质小区，户型好,630万,陆家嘴新景园  | 2室1厅 | 82.63平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadf638cbdb-c305-492f-978d-9b371c4b497f.jpg.296x216.jpg
20190504,浦东,金杨,罗山五村 1室1厅 320万,320万,罗山五村  | 1室1厅 | 52.44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170514/2223bb06-9633-4f59-836b-b4ccec826a09.jpg.296x216.jpg
20190504,浦东,金杨,楼层好，视野开阔。自住居家装修。,325万,仙都绿苑  | 1室1厅 | 58.19平米 | 北 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160703/bd08f734-2187-40bd-ac29-79b523788819.jpg.296x216.jpg
20190504,浦东,金杨,南北两房  中间四楼  价格可谈 看房方便,310万,寺前浜  | 2室1厅 | 68.05平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/50705c1d-9def-45e6-8174-f957fb50e42f.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一，采光充足，安静舒适，产权清晰,268万,罗山一村  | 1室1厅 | 51平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/437dedf6-30eb-4987-8aaf-c38e784d817c.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村五街坊 2室1厅 285万,285万,金杨新村五街坊  | 2室1厅 | 51.73平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/f5f45f8e-c612-4968-80ec-4c6c5ca33c48.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村十一街坊 3室1厅 360万,360万,金杨新村十一街坊  | 3室1厅 | 81.56平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/8b280755-7cf3-484b-828f-740522559f91.jpg.296x216.jpg
20190504,浦东,金杨,香山新村东南、双南两房、户型端正、看中随时可签,340万,香山新村东南街坊  | 2室1厅 | 55.46平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadfac47c54-258e-445f-a6f0-b76d64e856a5.jpg.296x216.jpg
20190504,浦东,金杨,金杨五街坊中间套一房一厅，可改小俩房。双地铁。,240万,金杨新村五街坊  | 1室1厅 | 48.83平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5e1319c1-c29b-4c1f-b044-28d05c29bf7f.jpg.296x216.jpg
20190504,浦东,金杨,精装两房，高区采光好，满五年税少，小区中间近地铁,255万,金杨新村九街坊  | 2室1厅 | 56.05平米 | 南 西 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170601/20c692fc-95bf-4730-8c74-90bb13568366.jpg.296x216.jpg
20190504,浦东,金杨,全明户型 一梯两户 不靠马路 厅朝南 诚心卖,265万,金杨二街坊  | 1室1厅 | 44.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload054637ae-e1d4-4ea5-a819-bc246ea8e8a1.jpg.296x216.jpg
20190504,浦东,金杨,{6+14}地铁沿线，房东诚意出售，诚意出售，小区央座,435万,罗山三村  | 3室1厅 | 87.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/a6610414-7321-49c7-bcb4-36f063596771.jpg.296x216.jpg
20190504,浦东,金杨,电梯高层双南，买入价高税少，位置好，视野开阔采光足,370万,锦绣河山  | 2室1厅 | 70.17平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160812/36c1bc4f-e8cc-4e50-8dbf-0397c8ae1ff9.jpg.296x216.jpg
20190504,浦东,金杨,全明户型 双轨交通 满五年 动迁房 1楼带天井,308万,金杨新村五街坊  | 2室1厅 | 58.18平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload4385f1b7-e556-4f88-bccf-7e632debfd6e.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一 全明两房 可改作三房,315万,罗山一村  | 2室1厅 | 66.61平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/e378d4fe-6983-4d7a-bd4b-e95ef42ef3b2.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村五街坊 1室1厅 240万,240万,金杨新村五街坊  | 1室1厅 | 48.83平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b72e459f-fa16-45ea-b97b-acfe818fdf92.jpg.296x216.jpg
20190504,浦东,金杨,寺前浜 1室1厅 180万,180万,寺前浜  | 1室1厅 | 38.12平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload734b365f-6847-4641-945f-ff8dbb470c7c.jpg.296x216.jpg
20190504,浦东,金杨,银山路185弄 1室1厅 320万,320万,银山路185弄  | 1室1厅 | 53.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload9a13e416-f47c-4c06-90f4-de06de1622f1.jpg.296x216.jpg
20190504,浦东,金杨,婚房装修，看房方便，空间大，满五唯一，花园位置。,345万,罗山三村  | 2室1厅 | 66.46平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/2ead180a-a218-48cb-9542-919fe26f84cb.jpg.296x216.jpg
20190504,浦东,金杨,房东置换急售，可以接受置换，房东自住保持很好,280万,寺前浜  | 2室1厅 | 57.42平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/51eca603-ab2b-4cf0-b62b-7edb1678cf7b.jpg.296x216.jpg
20190504,浦东,金杨,购买首套的都看过来！两房朝南，前无遮挡，紧挨地铁,285万,香山新村东北街坊  | 2室1厅 | 59.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload74ca1bdf-7956-4bb8-84d8-d183cc0b177b.jpg.296x216.jpg
20190504,浦东,金杨,两房朝南 不靠马路 9号线地铁口 小区进门位置诚意出售,370万,金杨六街坊  | 2室1厅 | 63.32平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/03750ea5-66cd-46e5-aa5b-ce0c133414de.jpg.296x216.jpg
20190504,浦东,金杨,总价低+一梯二户+双南双阳+全明户型+德平路地铁,420万,上泰花苑  | 2室1厅 | 70.34平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/f8e56123-0a9b-49cf-b440-f24b14f4ffb7.jpg.296x216.jpg
20190504,浦东,金杨,南北两房+居家装修+花园位置+业主诚意出售,320万,金杨新村五街坊  | 2室2厅 | 59.63平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/0ce6f62e-ed2c-4e86-aeaf-69308d4552eb.JPG.296x216.jpg
20190504,浦东,金杨,南北两房，全明户型，视野开阔，小区央座,410万,金樟花苑  | 2室1厅 | 65.61平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/c0d2b39b-7f12-47fc-830d-5e3c5cfd3ef5.jpg.296x216.jpg
20190504,浦东,金杨,方正小户型 房东置换 诚意出售 满五年 中间四楼,180万,寺前浜  | 1室1厅 | 35.45平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160320/82708fa4-184b-438c-b4ad-56f9373ab303.jpg.296x216.jpg
20190504,浦东,金杨,《5复6带7》中间位置，视野开阔采光充足，品质小区,1200万,住友名人花园  | 3室2厅 | 155.28平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/1d5158cf-007e-43d0-8a45-d6b4083ba559.jpg.296x216.jpg
20190504,浦东,金杨,优质楼层全明户型震撼来袭 动迁小区完备配套便利无他,268万,金杨七街坊  | 2室1厅 | 51.57平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload354ce76d-f645-422c-8483-5617eb2d28b3.jpg.296x216.jpg
20190504,浦东,金杨,金杨七街坊，双南两房，小区自带花园，视野开阔,360万,金杨七街坊  | 2室1厅 | 69.08平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploada2703fa7-4dd6-4afe-82b1-ab13652a5a4a.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村九街坊 3室1厅 385万,385万,金杨新村九街坊  | 3室1厅 | 76.57平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/63610fdc-3b83-4a9c-8036-56c4ce2d1e16.jpg.296x216.jpg
20190504,浦东,金杨,精装一年，户型已改为南北两房+工作调动忍痛割爱,385万,金杨新村十一街坊  | 2室2厅 | 73.34平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/3adfc807-2ebe-4286-b3fe-e9ce5bd4bd9c.jpg.296x216.jpg
20190504,浦东,金杨,金杨七街坊，47.73平方，一居室。厨卫并列朝北，全面,250万,金杨七街坊  | 1室1厅 | 47.73平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/11aed313-9409-4691-aa60-87027356077e.jpg.296x216.jpg
20190504,浦东,金杨,地铁口100米，大两房，非顶楼，南北通风！,385万,艾山新村  | 2室1厅 | 75.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/4c9449ec-0324-4d45-92c4-8352ec555f0e.jpg.296x216.jpg
20190504,浦东,金杨,房东上门降10万出售 精装修南北两房 近轨道6号德平站,310万,罗山四村  | 2室1厅 | 61.75平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/4793e671-ca52-488c-b7a6-620130cf267b.jpg.296x216.jpg
20190504,浦东,金杨,楼层好，南北房型，小区环境好，诚意出售，带车位,290万,罗山八村  | 1室1厅 | 51.7平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/c16a83e9-eca7-40e2-a325-35c1a0ebeb6c.jpg.296x216.jpg
20190504,浦东,金杨,高区  一房两厅    业主换房  诚意出售,850万,金桥瑞仕花园  | 1室2厅 | 83.06平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/4494f759-7ac1-4d76-9664-b951822f1f08.jpg.296x216.jpg
20190504,浦东,金杨,此房是秒盘性质，位置好，交通便利，配套设施齐全,245万,金台三居  | 1室1厅 | 53.68平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadb124b0f5-f44d-4458-bfe7-a151710a56b8.jpg.296x216.jpg
20190504,浦东,金杨,精装两年，配套齐全，南北通透，位置好，不靠马路,215万,罗山二村  | 1室1厅 | 46.92平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3590387f-d7c8-4c32-a3c4-cda3c8aa5b1d.jpg.296x216.jpg
20190504,浦东,金杨,2005年商品房，电梯房，商圈成熟，视野可看东方明珠。房主自荐,295万,仙都绿苑  | 1室1厅 | 63.24平米 | 北 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20161015/039a47a0-8c12-4d19-83a6-658f37d3e49c.jpg.296x216.jpg
20190504,浦东,金杨,一手动迁满五唯一，全明户型，高区采光好，近6号线,265万,金杨新村九街坊  | 2室1厅 | 56.05平米 | 东 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload370bf456-6c6f-46ff-8284-b74d72a72c0f.jpg.296x216.jpg
20190504,浦东,金杨,黄埔江边低总价小户型两房 满五年,235万,大桥花苑  | 2室1厅 | 49.52平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/6bf28f86-b231-4301-96dd-cbe1ba0e1128.jpg.296x216.jpg
20190504,浦东,金杨,精装修两年 小区央座 业主自住 一梯两户 全明户型,275万,金杨二街坊  | 1室1厅 | 44.49平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/e5d99239-a908-45d4-9499-6940fea9f04d.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村十一街坊 2室1厅 320万,320万,金杨新村十一街坊  | 2室1厅 | 61.92平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/6df0fa65-78ba-49fd-bf88-caaa8615127f.jpg.296x216.jpg
20190504,浦东,金杨,刚需房源，为您佳选，立根上海的温馨之家,365万,金杨路750弄  | 2室1厅 | 60.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/9aeb30dd-de0e-47bd-824a-98eefc0c3b57.jpg.296x216.jpg
20190504,浦东,金杨,一手动迁房、双南带双天井、固定车位、位置好，户型佳,310万,金杨新村十一街坊  | 2室1厅 | 54.82平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/04d2177e-829a-4103-a613-7d61e8d41fa8.jpg.296x216.jpg
20190504,浦东,金杨,小区安静位置，两房朝南，双南全明户型,370万,金杨二街坊  | 2室1厅 | 60.06平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploade6a0a955-2196-46f1-b3ff-e135c2deecf3.jpg.296x216.jpg
20190504,浦东,金杨,金杨小户型，总价低，房型正，房东诚意卖,202万,香山新村东南街坊  | 1室1厅 | 39.76平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/3d915880-ee24-43c6-90b7-111a4c1e3ad0.jpg.296x216.jpg
20190504,浦东,金杨,顶楼复式 带朝大露台，次新房花园位置， 交通双地铁,1000万,广洋苑  | 4室2厅 | 144.37平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160911/459c8ff2-d132-4646-8a47-87b373bd86e2.jpg.296x216.jpg
20190504,浦东,金杨,电梯大两房，诚意出售，交通便捷,510万,金杨新村八街坊  | 2室1厅 | 91.47平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/7c0d0545-5ac0-453c-8767-46b6380f3b32.jpg.296x216.jpg
20190504,浦东,金杨,十一街坊+采光好+不临街+视野开阔+交通便利+随时可看,235万,金杨新村十一街坊  | 1室1厅 | 41.21平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/7128c0f6-7459-4e9e-a925-a1d11b27993c.jpg.296x216.jpg
20190504,浦东,金杨,寺前浜 1室1厅 265万,265万,寺前浜  | 1室1厅 | 49.88平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/a175fbea-d3a9-4cd6-8a9f-58803d004380.jpg.296x216.jpg
20190504,浦东,金杨,金台三居，一梯两户，诚意出售，配套齐全地铁咫尺之遥房主自荐,268万,金台三居  | 1室1厅 | 54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload421951c1-3e61-4ee5-b5dc-5d1147799f43.jpg.296x216.jpg
20190504,浦东,金杨,罗山二村 1室1厅 300万房主自荐,300万,罗山二村  | 1室1厅 | 57.84平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadd956f9e2-fc7a-4c01-9636-ba01f77e999e.jpg.296x216.jpg
20190504,浦东,金杨,大桥花苑 2室0厅 300万,300万,大桥花苑  | 2室0厅 | 48平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/11481060-3a88-42a4-86de-d502717b1bfd.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村十街坊 1室2厅 280万,280万,金杨新村十街坊  | 1室2厅 | 49.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/eb6960ed-6820-47b5-8d9c-0f8c08fd8a9d.jpg.296x216.jpg
20190504,浦东,金杨,金杨南北精装小两房，采光好+闹中取静+业主诚意出售房主自荐,285万,金杨新村十街坊  | 2室1厅 | 57.46平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/29d5c954-476c-474f-bdde-fb040dcbb84a.jpg.296x216.jpg
20190504,浦东,金杨,一梯两户 双南全明 景观楼层 房本满五年 精装修 致远,470万,金杨新村四街坊  | 3室1厅 | 88.52平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/30a9bcb9-36fb-4bea-8f2c-c1a8f30f3a51.jpg.296x216.jpg
20190504,浦东,金杨,南北通 户型格局好， 采光十足，视野开阔，明亮户型,335万,金杨新村五街坊  | 2室1厅 | 60.2平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/6ba10ca5-b309-4cc8-aded-cd2a89dabf7b.jpg.296x216.jpg
20190504,浦东,金杨,银山小区 1室1厅 275万,275万,银山小区  | 1室1厅 | 52平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload432e35da-df44-4199-8239-94fb3fab3db2.jpg.296x216.jpg
20190504,浦东,金杨,金杨七街坊 2室1厅 295万,295万,金杨七街坊  | 2室1厅 | 55.48平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/98c797ff-8257-4a16-b48e-a7243921803e.jpg.296x216.jpg
20190504,浦东,金杨,双南全明两房，小区花园位置，交通便利，税费少,360万,香山新村西北街坊  | 2室1厅 | 67.29平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadadaa3f59-6bdc-4cc1-bf29-c432c6f04f8f.JPG.296x216.jpg
20190504,浦东,金杨,香山东南经典户型，高层采光好，精装拎包入住,360万,香山新村西南街坊  | 2室1厅 | 65.51平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170319/bb76a3ae-03a8-40c5-bc94-6775c85a1794.jpg.296x216.jpg
20190504,浦东,金杨,金杨金装205平2房带地下3房，精装修房东急售！,1200万,金桥瑞仕花园  | 5室2厅 | 205.27平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/2bb26689-8721-4e2c-bdbb-30fd6613925e.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一、经典小户型总价低，购房压力小，诚意出售。,170万,金杨新村十街坊  | 1室0厅 | 28.79平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/5157abb1-3746-4bda-bc29-d83c36b419e2.jpg.296x216.jpg
20190504,浦东,金杨,九号线蓝天路地铁，装修好一房，总价低，看房方便,285万,金杨新村四街坊  | 1室1厅 | 42.79平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/32e984e8-50ef-4f5f-9027-b4f9d8315c9e.jpg.296x216.jpg
20190504,浦东,金杨,黄山始信苑 2室1厅 580万新上,580万,黄山始信苑  | 2室1厅 | 70.58平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/x-se/shfdfs-image/20160303/602e6172-dbe6-4d5a-9570-b78880a8d26b.jpg.280x210.jpg
20190504,浦东,金杨,金桥瑞士别墅，精装修，别墅区居中位置,3200万,金桥瑞仕花园  | 5室4厅 | 380平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170222/81a9faf6-0d31-4336-b17f-de412f5667da.jpg.296x216.jpg
20190504,浦东,金杨,名典苑 3室2厅 950万,950万,名典苑  | 3室2厅 | 147.81平米 | 南 | 简装,https://image1.ljcdn.com/shfdfs-image/20160606/592a990b-4622-4f21-a22d-46a6d48d0f13.jpg.296x216.jpg
20190504,浦东,金杨,交通便利，一手动迁，满五唯一总价低，看房随时,320万,金杨新村九街坊  | 2室1厅 | 63.35平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170215/1d167c20-96b4-4b4e-a678-00655e07d2ac.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村三街坊 1室1厅 205万,205万,金杨新村三街坊  | 1室1厅 | 43.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/722cbddd-2336-41d4-b11f-d6989b9770b6.png.280x210.jpg
20190504,浦东,金杨,商品1房2厅、户型正气、楼层佳、视野开阔位置安静。,390万,金芝苑  | 1室2厅 | 68.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadcf5de890-7f98-4a51-9cd4-5aec750e08ee.jpg.296x216.jpg
20190504,浦东,金杨,香山新村东南街坊 2室1厅 430万,430万,香山新村东南街坊  | 2室1厅 | 75.49平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/ac59f683-2eab-4d99-9bf9-447e45153afe.jpg.296x216.jpg
20190504,浦东,金杨,刚需房源，立根上海的 温馨之家,950万,金台苑  | 4室2厅 | 189.52平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160618/35778b35-5993-42e4-8e9e-e5e112b18be1.jpg.296x216.jpg
20190504,浦东,金杨,一房小面积，总价低，精装修，拎包入住，价格可谈,185万,金杨新村九街坊  | 1室1厅 | 33.49平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/a71518c9-0c90-4301-84d6-9e0714dc1226.png.280x210.jpg
20190504,浦东,金杨,香山新村东南街坊 1室1厅 215万,215万,香山新村东南街坊  | 1室1厅 | 39.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/f298c1e4-d9b1-4a31-9fa2-fbe52113f0d2.jpg.296x216.jpg
20190504,浦东,金杨,大桥花苑 1室1厅 245万,245万,大桥花苑  | 1室1厅 | 44.7平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/cb4afc47-02f0-40a4-b8b6-d281dbe45604.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一，采光充足，位置安静，户型方正，产权明晰！,595万,黄山始信苑  | 2室1厅 | 70.44平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/176f5c7b-2de6-4e1f-8d7a-4fd56a616e11.png.280x210.jpg
